Examples,Labels
"Those who oppose stricter gun control want a free-for-all with firearms, turning our streets into the Wild West.",Strawman
Supporters of universal healthcare think we should just hand over all our hard-earned money to fund a bloated government bureaucracy.,Strawman
People who advocate for animal rights believe we should all become strict vegans and never use animals for any purpose.,Strawman
Proponents of stricter immigration policies paint anyone who supports a more compassionate approach as wanting completely open borders.,Strawman
Those who argue for lower taxes want to strip away all government services and leave us in a state of anarchy.,Strawman
"Advocates for renewable energy wants to completely shut down the fossil fuel industry overnight, without considering any transition plan.",Strawman
Critics of the education reform proposal say that anyone who supports it wants to abandon all traditional teaching methods.,Strawman
"Supporters of a woman's right advocates for unrestricted, late-term abortions.",Strawman
"Those who call for police reform wants to abolish law enforcement entirely, leaving us defenseless against crime.",Strawman
"Advocates for stricter border control wants to isolate our country completely, ignoring the benefits of immigration.",Strawman
"Since John started wearing his lucky socks, the team hasn't lost a single game. Those socks must be the reason for our winning streak.",False Cause
"Every time I wash my car, it rains the next day. Washing my car must be causing the rain.",False Cause
I took a vitamin C supplement and my cold went away the next day. Vitamin C must be a miracle cure for colds.,False Cause
"The stock market crashed after the president was elected. Therefore, the president's policies are to blame for the crash.",False Cause
"After I got a new job, my old company went bankrupt. I must have been holding them together.",False Cause
"Whenever I eat ice cream, my headaches go away. Ice cream is obviously a powerful painkiller.",False Cause
"Ever since I change my hair, my plants have been growing faster. The new hair must bring a good luck to my plants.",False Cause
"I wore my lucky hat to the exam, and I got an A. The hat must have brought me good luck.",False Cause
"Every time the neighbor's dog barks, the lights flicker in our house. That dog must be causing electrical interference.",False Cause
"I started using a new brand of soap, and my hair started growing faster. This soap must have special growth properties.",False Cause
"If we allow same-sex couples to marry, soon people will want to marry animals and inanimate objects.",Slippery Slope
"If we ban one type of video game, it won't be long before they start banning all forms of entertainment.",Slippery Slope
"If we give people free healthcare, it will lead to a socialist government taking over and stripping away our freedoms.",Slippery Slope
"If we allow students to have more flexible schedules, they'll stop attending school altogether.",Slippery Slope
"If we legalize marijuana, it's only a matter of time before everyone is using hard drugs.",Slippery Slope
"If we raise the minimum wage, businesses will start laying off employees and the economy will collapse.",Slippery Slope
"If we allow individuals to own guns, it will lead to a society where everyone is armed and violent.",Slippery Slope
"If we permit assisted suicide for terminally ill patients, it will lead to widespread euthanasia of the elderly.",Slippery Slope
"If we restrict freedom of speech, it's a slippery slope to totalitarian censorship of all dissenting opinions.",Slippery Slope
"If we start regulating fast food, it won't be long before the government controls everything we eat and do.",Slippery Slope
You can't trust John's opinion on politics; he's never been successful in his own career.,Ad Hominem
"She's just a teenager, what does she know about real-world problems?",Ad Hominem
"He's always been a bit eccentric, so his ideas about climate change can't be taken seriously.",Ad Hominem
"Don't listen to her, she's just a biased journalist with an agenda.",Ad Hominem
You're too young to understand the complexities of this issue.,Ad Hominem
Why should we consider his proposal? He's known for making bad decisions in the past.,Ad Hominem
"She's from a different country, so she doesn't really get how things work here.",Ad Hominem
You can't trust scientists; they're all just trying to secure more funding for their research.,Ad Hominem
"He's a die-hard fan of that political party, so of course he's going to defend their policies.",Ad Hominem
"She's clearly envious of her colleague's success, that's why she's criticizing her work.",Ad Hominem
"I know all the evidence points to climate change, but my industry is exempt because it would be too costly to implement green practices.",Special Pleading
"Everyone else needs to follow the rules, but I should be allowed to park in the handicapped spot because I'm in a rush.",Special Pleading
It's not fair to say I'm addicted to my phone just because I use it a lot. I have a good reason for needing to be online all the time.,Special Pleading
My son should get special treatment in school because he's gifted and the regular curriculum doesn't challenge him enough.,Special Pleading
I shouldn't have to pay taxes like everyone else because I'm a self-made entrepreneur and deserve special privileges.,Special Pleading
"Sure, lying is generally wrong, but in this case, it's necessary to protect someone's feelings.",Special Pleading
I can't be expected to follow the same dietary restrictions as everyone else because of my unique medical condition.,Special Pleading
The rules against plagiarism don't apply to me because my ideas are just too important to be confined by academic conventions.,Special Pleading
I shouldn't have to do community service for my crime; my circumstances are different from those of other offenders.,Special Pleading
"I should get an extension on the deadline because I've been going through a tough time, whereas others should manage their time better.",Special Pleading
Have you stopped cheating on exams yet?,Loaded Question
When did you decide to stop being so lazy?,Loaded Question
Why do you always take credit for other people's work?,Loaded Question
Have you finally admitted that you were wrong about everything?,Loaded Question
How much longer are you going to be in denial about your problems?,Loaded Question
When did you start caring about anything other than yourself?,Loaded Question
Why won't you admit that you're a terrible friend?,Loaded Question
Have you ever stopped to consider how selfish you really are?,Loaded Question
Why do you insist on causing trouble wherever you go?,Loaded Question
When did you decide to become such a heartless person?,Loaded Question
"I've flipped heads five times in a row, so the next flip must be tails.",The Gambler Fallacy
"After rolling a six on the dice five times, I'm due for a lower number.",The Gambler Fallacy
"The roulette wheel has landed on red the last five spins, so it's bound to be black next.",The Gambler Fallacy
"I've lost the last three hands, so statistically, I'm more likely to win this one.",The Gambler Fallacy
"The lottery numbers 1, 2, 3, 4, 5, and 6 have never been drawn. They're overdue!",The Gambler Fallacy
"I've been dealt a bad hand for the last few rounds, so this time, I'm guaranteed a good one.",The Gambler Fallacy
"The stock market has been on an upward trend for the past year, so it's bound to crash soon.",The Gambler Fallacy
I've been playing this slot machine for hours; it's got to pay out soon.,The Gambler Fallacy
"Since it's been raining for days, we're bound to have sunshine soon.",The Gambler Fallacy
"I've been stuck in traffic for a while, so the roads must clear up soon.",The Gambler Fallacy
"Everyone is going to the concert, so it must be an amazing show.",Bandwagon
"All the cool kids are wearing these sneakers, so you should get a pair too.",Bandwagon
"Every company is switching to this software, so it must be the best on the market.",Bandwagon
"Millions of people have downloaded this app, so it must be the most useful one out there.",Bandwagon
"All the top athletes are using this training method, so it must be the most effective.",Bandwagon
"This political candidate is leading in all the polls, so they must be the best choice for office.",Bandwagon
"Everyone in our class is using this study guide, so it must be the key to acing the exam.",Bandwagon
"All the experts agree that this diet plan is the best, so you should follow it too.",Bandwagon
"Every major corporation is investing in renewable energy, so it must be the future of power.",Bandwagon
"The majority of people believe in this superstition, so it must be true.",Bandwagon
